Size,DurationTotal,DurationComm,NumProcesses
64,0.000104803,6.7158e-06,1
128,0.000756389,4.657e-06,1
256,0.00565451,1.8856e-05,1
512,0.0447713,7.39606e-05,1
1024,0.36963,0.000337804,1
2048,2.68198,0.00451856,1
4096,23.8145,0.0209299,1
8192,276.431,0.0835059,1
64,6.62114e-05,3.92116e-05,2
128,0.00041669,7.18912e-05,2
256,0.002841,0.000347799,2
512,0.0224965,0.00203825,2
1024,0.181436,0.0123336,2
2048,1.43052,0.108719,2
4096,12.411,1.0065,2
8192,142.262,4.69966,2
64,3.11596e-05,8.0493e-05,4
128,0.000268863,0.000205694,4
256,0.00156774,0.000566127,4
512,0.0116299,0.0020234,4
1024,0.0901779,0.006351,4
2048,0.714591,0.0230486,4
4096,6.26265,0.0901055,4
8192,70.2137,0.357827,4
64,0.000102075,6.2454e-06,1
128,0.000756481,5.8874e-06,1
256,0.00564645,1.91676e-05,1
512,0.0444586,7.98936e-05,1
1024,0.369596,0.000342929,1
2048,2.67689,0.00468728,1
4096,23.5997,0.0207489,1
8192,278.489,0.0826187,1
64,5.09128e-05,3.34568e-05,2
128,0.000402241,8.6189e-05,2
256,0.0028631,0.000405425,2
512,0.0228905,0.0024186,2
1024,0.183548,0.0154303,2
2048,1.44818,0.126816,2
4096,12.4733,1.02714,2
8192,142.434,4.83549,2
64,5.2161e-05,7.2558e-05,4
128,0.000249875,0.000167266,4
256,0.00157757,0.000550218,4
512,0.0118374,0.00209939,4
1024,0.0905826,0.00579561,4
2048,0.718411,0.0204923,4
4096,6.18631,0.0793173,4
8192,70.5645,0.315168,4
