Size,Duration,NumThreads
64,8.283e-05,1
128,0.000611333,1
256,0.00481619,1
512,0.0384013,1
1024,0.306534,1
2048,2.51486,1
4096,29.3239,1
8192,237.597,1
64,0.000105439,2
128,0.00030023,2
256,0.00240707,2
512,0.019869,2
1024,0.175527,2
2048,1.30374,2
4096,15.578,2
8192,127.114,2
64,0.000108025,4
128,0.000453238,4
256,0.00125692,4
512,0.0101727,4
1024,0.0910526,4
2048,0.660128,4
4096,7.81871,4
8192,63.5885,4
64,0.000114529,8
128,0.0003518,8
256,0.000822165,8
512,0.00522952,8
1024,0.0445632,8
2048,0.330501,8
4096,4.12572,8
8192,33.1506,8
64,0.0029775,16
128,0.000361787,16
256,0.000641394,16
512,0.00273988,16
1024,0.0227171,16
2048,0.169479,16
4096,2.26931,16
8192,17.0865,16
