Size,Duration,NumThreads
64,0.000148324,1
128,0.00116127,1
256,0.00918062,1
512,0.0731713,1
1024,0.583421,1
2048,4.68211,1
4096,37.7951,1
8192,302.203,1
64,0.000175416,2
128,0.000572501,2
256,0.0045657,2
512,0.0375061,2
1024,0.303135,2
2048,2.36744,2
4096,19.4061,2
8192,154.958,2
64,0.000176459,4
128,0.000580119,4
256,0.00254466,4
512,0.0195573,4
1024,0.159039,4
2048,1.20994,4
4096,10.2459,4
8192,82.0895,4
64,0.000196545,8
128,0.000608327,8
256,0.002454,8
512,0.00966995,8
1024,0.0772818,8
2048,0.603426,8
4096,5.12496,8
8192,41.1931,8
64,0.0113614,16
128,0.000581622,16
256,0.00235976,16
512,0.00968279,16
1024,0.039104,16
2048,0.303199,16
4096,2.5922,16
8192,20.881,16
