Size,Duration,Comm_time, Gflops
64,0.009856,0.00384,53.1948
64,0.012992,0.004608,40.3547
64,0.009568,0.00432,54.796
64,0.010016,0.003872,52.345
64,0.009088,0.003968,57.6901
128,0.014976,0.00384,280.068
128,0.015776,0.004512,265.866
128,0.01504,0.00384,278.877
128,0.015296,0.003904,274.209
128,0.015232,0.003776,275.361
256,0.062848,0.00448,533.898
256,0.063616,0.004224,527.453
256,0.063072,0.003872,532.002
256,0.063712,0.00432,526.658
256,0.063328,0.003936,529.851
512,0.45232,0.004032,593.464
512,0.451776,0.004288,594.178
512,0.451488,0.004032,594.557
512,0.451744,0.004256,594.22
512,0.450496,0.004032,595.866
1024,3.23846,0.004672,663.118
1024,3.22752,0.00416,665.366
1024,3.22922,0.00464,665.017
1024,3.22698,0.004448,665.479
1024,3.23446,0.004768,663.938
2048,25.1713,0.004416,682.519
2048,25.116,0.005472,684.021
2048,25.1281,0.00528,683.692
2048,25.1316,0.005664,683.598
2048,25.1248,0.005024,683.782
4096,194.993,0.004256,704.842
4096,184.344,0.008384,745.558
4096,184.383,0.007744,745.4
4096,184.357,0.00752,745.504
4096,184.387,0.007904,745.382
8192,2018.81,0.004512,544.635
8192,2019.88,0.01152,544.345
8192,2020.31,0.007168,544.229
8192,2020.84,0.01152,544.087
8192,2020.77,0.0112,544.106
16384,78351.6,0.0056,112.264
16384,78354.2,0.012096,112.261
16384,78356.8,0.01264,112.257
16384,78343.1,0.012896,112.276
16384,78333.2,0.011712,112.291
