Size,Duration,MC,KC,NC
2048,0.794584,8,48,64
2048,0.794552,8,48,128
2048,0.793923,8,48,256
2048,0.795604,8,48,512
2048,0.795433,8,48,1024
2048,0.795651,8,48,2048
2048,0.817268,8,64,64
2048,0.81669,8,64,128
2048,0.817463,8,64,256
2048,0.816112,8,64,512
2048,0.817861,8,64,1024
2048,0.816746,8,64,2048
2048,0.900715,8,128,64
2048,0.900058,8,128,128
2048,0.901498,8,128,256
2048,0.900588,8,128,512
2048,0.900749,8,128,1024
2048,0.900819,8,128,2048
2048,0.837232,8,192,64
2048,0.836878,8,192,128
2048,0.837722,8,192,256
2048,0.837597,8,192,512
2048,0.838198,8,192,1024
2048,0.837451,8,192,2048
2048,0.863585,8,256,64
2048,0.860845,8,256,128
2048,0.863584,8,256,256
2048,0.860852,8,256,512
2048,0.863978,8,256,1024
2048,0.861112,8,256,2048
2048,0.851864,8,384,64
2048,0.852263,8,384,128
2048,0.852471,8,384,256
2048,0.852504,8,384,512
2048,0.851817,8,384,1024
2048,0.851987,8,384,2048
2048,0.84325,8,512,64
2048,0.840197,8,512,128
2048,0.843411,8,512,256
2048,0.840597,8,512,512
2048,0.843761,8,512,1024
2048,0.84079,8,512,2048
2048,0.789861,16,48,64
2048,0.788571,16,48,128
2048,0.788679,16,48,256
2048,0.788708,16,48,512
2048,0.790566,16,48,1024
2048,0.794444,16,48,2048
2048,0.809535,16,64,64
2048,0.809157,16,64,128
2048,0.809962,16,64,256
2048,0.809567,16,64,512
2048,0.812806,16,64,1024
2048,0.816788,16,64,2048
2048,0.896312,16,128,64
2048,0.894886,16,128,128
2048,0.895467,16,128,256
2048,0.895017,16,128,512
2048,0.897177,16,128,1024
2048,0.9006,16,128,2048
2048,0.835688,16,192,64
2048,0.835117,16,192,128
2048,0.836635,16,192,256
2048,0.836227,16,192,512
2048,0.838419,16,192,1024
2048,0.837378,16,192,2048
2048,0.861147,16,256,64
2048,0.859044,16,256,128
2048,0.860531,16,256,256
2048,0.859017,16,256,512
2048,0.861828,16,256,1024
2048,0.860942,16,256,2048
2048,0.851091,16,384,64
2048,0.849754,16,384,128
2048,0.850471,16,384,256
2048,0.850193,16,384,512
2048,0.851964,16,384,1024
2048,0.852111,16,384,2048
2048,0.843974,16,512,64
2048,0.841136,16,512,128
2048,0.842492,16,512,256
2048,0.840276,16,512,512
2048,0.843591,16,512,1024
2048,0.840445,16,512,2048
2048,0.783505,32,48,64
2048,0.784052,32,48,128
2048,0.782404,32,48,256
2048,0.783018,32,48,512
2048,0.786193,32,48,1024
2048,0.794316,32,48,2048
2048,0.806774,32,64,64
2048,0.806527,32,64,128
2048,0.806219,32,64,256
2048,0.808207,32,64,512
2048,0.810914,32,64,1024
2048,0.81838,32,64,2048
2048,0.893009,32,128,64
2048,0.892081,32,128,128
2048,0.891394,32,128,256
2048,0.892011,32,128,512
2048,0.89458,32,128,1024
2048,0.901319,32,128,2048
2048,0.831865,32,192,64
2048,0.830545,32,192,128
2048,0.827978,32,192,256
2048,0.82964,32,192,512
2048,0.831559,32,192,1024
