Size: 2048, Duration: 1.02229 seconds (MC=16, KC=16, NC=32)
Size: 2048, Duration: 1.0028 seconds (MC=16, KC=16, NC=64)
Size: 2048, Duration: 0.990113 seconds (MC=16, KC=16, NC=128)
Size: 2048, Duration: 0.982273 seconds (MC=16, KC=16, NC=256)
Size: 2048, Duration: 0.975587 seconds (MC=16, KC=16, NC=512)
Size: 2048, Duration: 0.882743 seconds (MC=16, KC=32, NC=32)
Size: 2048, Duration: 0.882088 seconds (MC=16, KC=32, NC=64)
Size: 2048, Duration: 0.87994 seconds (MC=16, KC=32, NC=128)
Size: 2048, Duration: 0.877126 seconds (MC=16, KC=32, NC=256)
Size: 2048, Duration: 0.875929 seconds (MC=16, KC=32, NC=512)
Size: 2048, Duration: 0.806676 seconds (MC=16, KC=48, NC=32)
Size: 2048, Duration: 0.805082 seconds (MC=16, KC=48, NC=64)
Size: 2048, Duration: 0.805968 seconds (MC=16, KC=48, NC=128)
Size: 2048, Duration: 0.802217 seconds (MC=16, KC=48, NC=256)
Size: 2048, Duration: 0.799475 seconds (MC=16, KC=48, NC=512)
Size: 2048, Duration: 0.775455 seconds (MC=16, KC=64, NC=32)
Size: 2048, Duration: 0.772218 seconds (MC=16, KC=64, NC=64)
Size: 2048, Duration: 0.774238 seconds (MC=16, KC=64, NC=128)
Size: 2048, Duration: 0.771211 seconds (MC=16, KC=64, NC=256)
Size: 2048, Duration: 0.770977 seconds (MC=16, KC=64, NC=512)
Size: 2048, Duration: 0.774577 seconds (MC=16, KC=128, NC=32)
Size: 2048, Duration: 0.773293 seconds (MC=16, KC=128, NC=64)
Size: 2048, Duration: 0.773122 seconds (MC=16, KC=128, NC=128)
Size: 2048, Duration: 0.76965 seconds (MC=16, KC=128, NC=256)
Size: 2048, Duration: 0.771656 seconds (MC=16, KC=128, NC=512)
Size: 2048, Duration: 0.742246 seconds (MC=16, KC=256, NC=32)
Size: 2048, Duration: 0.740998 seconds (MC=16, KC=256, NC=64)
Size: 2048, Duration: 0.741835 seconds (MC=16, KC=256, NC=128)
Size: 2048, Duration: 0.742781 seconds (MC=16, KC=256, NC=256)
Size: 2048, Duration: 0.748691 seconds (MC=16, KC=256, NC=512)
Size: 2048, Duration: 1.02333 seconds (MC=32, KC=16, NC=32)
Size: 2048, Duration: 1.00548 seconds (MC=32, KC=16, NC=64)
Size: 2048, Duration: 0.995497 seconds (MC=32, KC=16, NC=128)
Size: 2048, Duration: 0.983439 seconds (MC=32, KC=16, NC=256)
Size: 2048, Duration: 0.976955 seconds (MC=32, KC=16, NC=512)
Size: 2048, Duration: 0.871718 seconds (MC=32, KC=32, NC=32)
Size: 2048, Duration: 0.874135 seconds (MC=32, KC=32, NC=64)
Size: 2048, Duration: 0.873129 seconds (MC=32, KC=32, NC=128)
Size: 2048, Duration: 0.870515 seconds (MC=32, KC=32, NC=256)
Size: 2048, Duration: 0.869275 seconds (MC=32, KC=32, NC=512)
Size: 2048, Duration: 0.805843 seconds (MC=32, KC=48, NC=32)
Size: 2048, Duration: 0.799816 seconds (MC=32, KC=48, NC=64)
Size: 2048, Duration: 0.797725 seconds (MC=32, KC=48, NC=128)
Size: 2048, Duration: 0.792882 seconds (MC=32, KC=48, NC=256)
Size: 2048, Duration: 0.787418 seconds (MC=32, KC=48, NC=512)
Size: 2048, Duration: 0.755615 seconds (MC=32, KC=64, NC=32)
Size: 2048, Duration: 0.760489 seconds (MC=32, KC=64, NC=64)
Size: 2048, Duration: 0.758356 seconds (MC=32, KC=64, NC=128)
Size: 2048, Duration: 0.752869 seconds (MC=32, KC=64, NC=256)
Size: 2048, Duration: 0.736021 seconds (MC=32, KC=64, NC=512)
Size: 2048, Duration: 0.697323 seconds (MC=32, KC=128, NC=32)
Size: 2048, Duration: 0.713569 seconds (MC=32, KC=128, NC=64)
Size: 2048, Duration: 0.710166 seconds (MC=32, KC=128, NC=128)
Size: 2048, Duration: 0.706685 seconds (MC=32, KC=128, NC=256)
Size: 2048, Duration: 0.710885 seconds (MC=32, KC=128, NC=512)
Size: 2048, Duration: 0.681777 seconds (MC=32, KC=256, NC=32)
Size: 2048, Duration: 0.682053 seconds (MC=32, KC=256, NC=64)
Size: 2048, Duration: 0.680991 seconds (MC=32, KC=256, NC=128)
Size: 2048, Duration: 0.687012 seconds (MC=32, KC=256, NC=256)
Size: 2048, Duration: 0.693653 seconds (MC=32, KC=256, NC=512)
Size: 2048, Duration: 1.02279 seconds (MC=48, KC=16, NC=32)
Size: 2048, Duration: 1.0045 seconds (MC=48, KC=16, NC=64)
Size: 2048, Duration: 0.993814 seconds (MC=48, KC=16, NC=128)
Size: 2048, Duration: 0.984321 seconds (MC=48, KC=16, NC=256)
Size: 2048, Duration: 0.97657 seconds (MC=48, KC=16, NC=512)
Size: 2048, Duration: 0.866038 seconds (MC=48, KC=32, NC=32)
Size: 2048, Duration: 0.868385 seconds (MC=48, KC=32, NC=64)
Size: 2048, Duration: 0.868049 seconds (MC=48, KC=32, NC=128)
