Size,Duration,MC,KC,NC
2048,0.809576,16,48,64
2048,0.804173,16,48,128
2048,0.805517,16,48,256
2048,0.80569,16,48,512
2048,0.806237,16,48,1024
2048,0.82261,16,64,64
2048,0.820136,16,64,128
2048,0.820898,16,64,256
2048,0.822101,16,64,512
2048,0.825021,16,64,1024
2048,0.861363,16,96,64
2048,0.86251,16,96,128
2048,0.857985,16,96,256
2048,0.862325,16,96,512
2048,0.859776,16,96,1024
2048,0.922419,16,128,64
2048,0.919855,16,128,128
2048,0.917848,16,128,256
2048,0.919702,16,128,512
2048,0.921938,16,128,1024
2048,0.857597,16,192,64
2048,0.856152,16,192,128
2048,0.855401,16,192,256
2048,0.857245,16,192,512
2048,0.857457,16,192,1024
2048,0.811952,32,48,64
2048,0.800652,32,48,128
2048,0.797641,32,48,256
2048,0.801,32,48,512
2048,0.804146,32,48,1024
2048,0.825096,32,64,64
2048,0.817613,32,64,128
2048,0.816803,32,64,256
2048,0.821217,32,64,512
2048,0.822494,32,64,1024
2048,0.863608,32,96,64
2048,0.855166,32,96,128
2048,0.858611,32,96,256
2048,0.856987,32,96,512
2048,0.861465,32,96,1024
2048,0.91862,32,128,64
2048,0.914155,32,128,128
2048,0.912308,32,128,256
2048,0.915736,32,128,512
2048,0.919938,32,128,1024
2048,0.858518,32,192,64
2048,0.855845,32,192,128
2048,0.853643,32,192,256
2048,0.856637,32,192,512
2048,0.856242,32,192,1024
2048,0.806448,48,48,64
2048,0.796667,48,48,128
2048,0.795652,48,48,256
2048,0.798065,48,48,512
2048,0.802535,48,48,1024
2048,0.825003,48,64,64
2048,0.817778,48,64,128
2048,0.818029,48,64,256
2048,0.820605,48,64,512
2048,0.823417,48,64,1024
2048,0.857789,48,96,64
2048,0.858674,48,96,128
2048,0.853179,48,96,256
2048,0.859126,48,96,512
2048,0.857943,48,96,1024
2048,0.915908,48,128,64
2048,0.913494,48,128,128
2048,0.910408,48,128,256
2048,0.914822,48,128,512
2048,0.918551,48,128,1024
2048,0.859228,48,192,64
2048,0.854341,48,192,128
2048,0.853675,48,192,256
2048,0.855952,48,192,512
2048,0.856794,48,192,1024
2048,0.808592,64,48,64
2048,0.796552,64,48,128
2048,0.793831,64,48,256
2048,0.796596,64,48,512
2048,0.801264,64,48,1024
2048,0.827298,64,64,64
2048,0.818105,64,64,128
2048,0.816927,64,64,256
2048,0.821995,64,64,512
2048,0.823045,64,64,1024
2048,0.862559,64,96,64
2048,0.853194,64,96,128
2048,0.857335,64,96,256
2048,0.855337,64,96,512
2048,0.860617,64,96,1024
2048,0.915286,64,128,64
2048,0.912609,64,128,128
2048,0.909808,64,128,256
2048,0.913148,64,128,512
2048,0.91867,64,128,1024
2048,0.856069,64,192,64
2048,0.853997,64,192,128
2048,0.852463,64,192,256
2048,0.856694,64,192,512
2048,0.856009,64,192,1024
2048,0.808035,80,48,64
2048,0.796207,80,48,128
2048,0.793877,80,48,256
2048,0.796877,80,48,512
2048,0.800716,80,48,1024
2048,0.825669,80,64,64
2048,0.819965,80,64,128
2048,0.817696,80,64,256
2048,0.821306,80,64,512
2048,0.82277,80,64,1024
2048,0.857582,80,96,64
2048,0.858399,80,96,128
2048,0.85211,80,96,256
2048,0.858408,80,96,512
2048,0.857249,80,96,1024
2048,0.91574,80,128,64
2048,0.912768,80,128,128
2048,0.909277,80,128,256
2048,0.913559,80,128,512
2048,0.918374,80,128,1024
2048,0.858616,80,192,64
2048,0.852231,80,192,128
2048,0.85321,80,192,256
2048,0.85561,80,192,512
2048,0.857147,80,192,1024
2048,0.811467,96,48,64
2048,0.796739,96,48,128
2048,0.793353,96,48,256
2048,0.79624,96,48,512
2048,0.801377,96,48,1024
2048,0.827368,96,64,64
2048,0.818906,96,64,128
2048,0.817501,96,64,256
2048,0.822424,96,64,512
2048,0.822477,96,64,1024
2048,0.863838,96,96,64
2048,0.852695,96,96,128
2048,0.856731,96,96,256
2048,0.854636,96,96,512
2048,0.860636,96,96,1024
2048,0.914996,96,128,64
2048,0.912426,96,128,128
2048,0.909129,96,128,256
2048,0.912977,96,128,512
2048,0.917958,96,128,1024
2048,0.857055,96,192,64
2048,0.854813,96,192,128
2048,0.852152,96,192,256
2048,0.856085,96,192,512
2048,0.855554,96,192,1024
2048,0.810534,128,48,64
2048,0.797313,128,48,128
2048,0.794087,128,48,256
2048,0.796299,128,48,512
2048,0.799905,128,48,1024
2048,0.82928,128,64,64
2048,0.819777,128,64,128
2048,0.817084,128,64,256
2048,0.822084,128,64,512
2048,0.822907,128,64,1024
2048,0.859261,128,96,64
2048,0.857861,128,96,128
2048,0.851275,128,96,256
2048,0.85755,128,96,512
2048,0.856668,128,96,1024
2048,0.911763,128,128,64
2048,0.90961,128,128,128
2048,0.907988,128,128,256
2048,0.912345,128,128,512
2048,0.918131,128,128,1024
2048,0.859164,128,192,64
2048,0.853892,128,192,128
2048,0.852862,128,192,256
2048,0.856069,128,192,512
2048,0.857092,128,192,1024
