Size,Duration,NumThreads
500,0.105079,1
1000,0.564657,1
1500,1.89736,1
2000,4.46806,1
2500,8.68451,1
3000,14.9745,1
3500,24.0165,1
4000,35.6186,1
4500,51.7516,1
5000,70.6563,1
500,0.0658946,2
1000,0.297871,2
1500,1.131,2
2000,2.5287,2
2500,4.90013,2
3000,8.84714,2
3500,14.2395,2
4000,21.5406,2
4500,30.6364,2
5000,40.892,2
500,0.0441508,4
1000,0.186731,4
1500,0.541135,4
2000,1.29556,4
2500,2.71663,4
3000,4.84211,4
3500,7.78688,4
4000,11.8977,4
4500,16.4987,4
5000,22.8539,4
500,0.0382119,8
1000,0.147925,8
1500,0.324669,8
2000,0.911516,8
2500,1.69463,8
3000,2.97477,8
3500,4.48815,8
4000,7.06159,8
4500,9.4205,8
5000,13.2006,8
500,0.0534131,16
1000,0.157449,16
1500,0.278612,16
2000,0.596051,16
2500,1.25253,16
3000,2.02361,16
3500,3.30404,16
4000,5.05897,16
4500,7.3877,16
5000,9.72535,16
